PMDB,PT,PSDB,PP,PR,PSD,PSB,DEM,PRB,PDT,PTB,SD,PTN,PCdoB,PSC,PPS,PHS,PV,PSOL,PROS,REDE,PTdoB,PEN,PSL,PMB,PRP,ano,municipio_codigo,cargo_codigo,partido_codigo,coligacao,populacao,latitude,longitude,estado,municipio,cargo,tipo,partido,coligacao_nome,coligacao_partidos,codigo_ibge,pobres,idhm,rendapercapita,candidaturas_mun
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,71935,11,,1,2621,-23.2057,-49.6096,SP,TIMBURI,PREFEITO,COLIGACAO,PP,RENOVAÇÃO SERIEDADE E COMPROMISSO,PP / SD / PDT / DEM,,,,,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016,71935,11,90,0,2621,-23.2057,-49.6096,SP,TIMBURI,PREFEITO,PARTIDO ISOLADO,PROS,#NULO#,PROS,3554607,9.2399998,.70999998,580.23999,5
0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2016,71935,11,,1,2621,-23.2057,-49.6096,SP,TIMBURI,PREFEITO,COLIGACAO,PSDB,TIMBURI EM BOAS MÃOS RESGATANDO VALORES,PSDB / PSD / PR / PPS / PEN / PTN,,,,,5
1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2016,71951,11,,1,9280,-22.4237,-48.1731,SP,TORRINHA,PREFEITO,COLIGACAO,PSD,TORRINHA O TRABALHO CONTINUA,PSD / PSC / PRB / PP / PMDB / PRTB / PSDB / PC do B / PR,,,,,2
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,71951,11,,1,9280,-22.4237,-48.1731,SP,TORRINHA,PREFEITO,COLIGACAO,PV,TORRINHA MERECE MAIS,PV / PTB / DEM / PSB / PPS,,,,,2
1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2016,71978,11,,1,37302,-22.9571,-45.547501,SP,TREMEMBÉ,PREFEITO,COLIGACAO,PMDB,GENTE DA GENTE,PMDB / PSC / PRP / PT / PTN / PC do B / PPS,,,,,3
0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,2016,71978,11,,1,37302,-22.9571,-45.547501,SP,TREMEMBÉ,PREFEITO,COLIGACAO,PSB,O TRABALHO CONTINUA,PSB / PSD / PSDB / PP / PDT / PV / PRB / PEN / PR / DEM / PTB / PHS / PSDC / PSL / PTC / PT do B / PROS / SD,,,,,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,71978,11,50,0,37302,-22.9571,-45.547501,SP,TREMEMBÉ,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,3554805,5.9499998,.78500003,959.88,3
0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2016,71994,11,,1,5385,-20.2344,-50.890499,SP,TRÊS FRONTEIRAS,PREFEITO,COLIGACAO,PPS,"AVANÇA, TRÊS FRONTEIRAS!",PPS / PRB / PROS / SD / PSDB / PT / PTB,,,,,2
1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2016,71994,11,,1,5385,-20.2344,-50.890499,SP,TRÊS FRONTEIRAS,PREFEITO,COLIGACAO,PDT,JUNTOS SOMOS MAIS FORTES,PDT / PMDB / PEN / PSD / PSB / PHS / PV / PR / DEM,,,,,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2016,72010,11,,1,62555,-21.9335,-50.5191,SP,TUPÃ,PREFEITO,COLIGACAO,PV,UM TEMPO NOVO PARA NOSSA CIDADE  PV-PSD,PV / PSD,,,,,5
1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2016,72010,11,,1,62555,-21.9335,-50.5191,SP,TUPÃ,PREFEITO,COLIGACAO,PMDB,"RENOVAÇÃO, PROGRESSO E SERIEDADE",PMDB / PT / PTB / PROS / PSC / PP,,,,,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2016,72010,11,50,0,62555,-21.9335,-50.5191,SP,TUPÃ,PREFEITO,PARTIDO ISOLADO,PSOL,#NULO#,PSOL,3555000,4.98,.77100003,926.96002,5
